acquisition_date,chance_of_rain,channel,date,humidity,precipitation,temperatures,time,weather,wind_direction,wind_speed
2017-08-28 10:15:02.912400,10,44,2017-08-28,100,0,14.9,01:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,10,44,2017-08-28,100,0,15.1,02:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,10,44,2017-08-28,100,0,15.1,03:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,10,44,2017-08-28,100,0,15.0,04:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,10,44,2017-08-28,100,0,15.4,05:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,10,44,2017-08-28,100,0,15.4,06:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,0,44,2017-08-28,94,0,15.6,07:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,0,44,2017-08-28,86,0,16.6,08:00:00,曇り,南東,1
2017-08-28 10:15:02.912400,0,44,2017-08-28,79,0,17.9,09:00:00,曇り,南東,1
2017-08-28 10:15:02.912400,0,44,2017-08-28,75,0,18.4,10:00:00,曇り,南東,1
2017-08-28 10:15:02.912400,0,44,2017-08-28,68,0,19.6,11:00:00,曇り,南東,1
2017-08-28 10:15:02.912400,0,44,2017-08-28,64,0,21.0,12:00:00,曇り,南東,1
2017-08-28 10:15:02.912400,0,44,2017-08-28,64,0,22.3,13:00:00,曇り,南東,1
2017-08-28 10:15:02.912400,0,44,2017-08-28,66,0,21.3,14:00:00,曇り,南東,1
2017-08-28 10:15:02.912400,0,44,2017-08-28,70,0,20.7,15:00:00,曇り,南東,1
2017-08-28 10:15:02.912400,0,44,2017-08-28,74,0,19.8,16:00:00,曇り,南東,1
2017-08-28 10:15:02.912400,0,44,2017-08-28,78,0,18.9,17:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,0,44,2017-08-28,86,0,17.9,18:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,0,44,2017-08-28,94,0,17.5,19:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,0,44,2017-08-28,96,0,17.4,20:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,0,44,2017-08-28,96,0,17.3,21:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,0,44,2017-08-28,98,0,17.5,22:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,0,44,2017-08-28,98,0,17.3,23:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,10,44,2017-08-28,100,0,16.8,23:59:59,曇り,西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,17.2,01:00:00,曇り,西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,17.5,02:00:00,曇り,西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,18.0,03:00:00,曇り,西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,18.0,04:00:00,曇り,西南西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,17.8,05:00:00,曇り,西南西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,18.2,06:00:00,曇り,南西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,96,0,19.1,07:00:00,曇り,南南西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,82,0,20.4,08:00:00,曇り,南,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,80,0,22.1,09:00:00,曇り,南,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,76,0,23.1,10:00:00,曇り,南,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,74,0,24.0,11:00:00,曇り,南,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,76,0,22.4,12:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,10,44,2017-08-29,78,0,22.7,13:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,20,44,2017-08-29,80,0,22.0,14:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,20,44,2017-08-29,80,0,21.8,15:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,20,44,2017-08-29,84,0,21.2,16:00:00,曇り,南南東,1
2017-08-28 10:15:02.912400,20,44,2017-08-29,86,0,20.7,17:00:00,曇り,南,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,94,0,19.8,18:00:00,曇り,南南西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,19.8,19:00:00,曇り,南西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,19.2,20:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,18.8,21:00:00,曇り,北西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,18.6,22:00:00,曇り,北西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,18.1,23:00:00,曇り,北西,1
2017-08-28 10:15:02.912400,10,44,2017-08-29,100,0,17.3,23:59:59,曇り,北西,1
2017-08-28 10:15:02.912400,10,44,2017-08-30,96,0,16.6,01:00:00,曇り,静穏,0
2017-08-28 10:15:02.912400,10,44,2017-08-30,90,0,17.2,02:00:00,曇り,西北西,1
2017-08-28 10:15:02.912400,10,44,2017-08-30,84,0,17.6,03:00:00,曇り,西北西,1
2017-08-28 10:15:02.912400,10,44,2017-08-30,88,0,17.3,04:00:00,曇り,西北西,1
2017-08-28 10:15:02.912400,10,44,2017-08-30,96,0,17.5,05:00:00,曇り,北西,1
