acquisition_date,chance_of_rains,channel,date,humidity,precipitation,temperatures,time,weather,wind_direction,wind_speed
2017-08-09 21:16:42.516178,,11,2017-08-09,88,0,27,00:00:00,曇り,南東,1
2017-08-09 21:16:42.516178,,11,2017-08-09,87,0,26,03:00:00,晴れ,南,1
2017-08-09 21:16:42.516178,,11,2017-08-09,78,0,27,06:00:00,晴れ,西,1
2017-08-09 21:16:42.516178,,11,2017-08-09,61,0,31,09:00:00,晴れ,北,1
2017-08-09 21:16:42.516178,,11,2017-08-09,54,0,36,12:00:00,晴れ,北西,1
2017-08-09 21:16:42.516178,,11,2017-08-09,50,0,36,15:00:00,晴れ,北西,1
2017-08-09 21:16:42.516178,,11,2017-08-09,60,0,32,18:00:00,弱雨,西北西,1
2017-08-09 21:16:42.516178,,11,2017-08-09,82,0,27,21:00:00,曇り,東北東,1
2017-08-09 21:16:42.516178,,11,2017-08-10,94,0,26,00:00:00,曇り,北東,1
2017-08-09 21:16:42.516178,,11,2017-08-10,96,0,25,03:00:00,曇り,東北東,2
2017-08-09 21:16:42.516178,,11,2017-08-10,94,0,25,06:00:00,曇り,東北東,1
2017-08-09 21:16:42.516178,,11,2017-08-10,86,0,28,09:00:00,曇り,東北東,1
2017-08-09 21:16:42.516178,,11,2017-08-10,76,0,31,12:00:00,曇り,東,2
2017-08-09 21:16:42.516178,,11,2017-08-10,72,0,33,15:00:00,曇り,東南東,3
2017-08-09 21:16:42.516178,,11,2017-08-10,78,0,29,18:00:00,曇り,東南東,2
2017-08-09 21:16:42.516178,,11,2017-08-10,86,0,27,21:00:00,曇り,東南東,2
